,Show,Season,Air_Date,Week_Number,Episode_Number,Episode_Type,Network_TV_Spend,Cable_TV_Spend,Digital_Spend,Impressions,True_Viewership,Revenue,Holiday,LeadIn_Bonus
0,Show2,1,2020-10-05,5,0,PreLaunch,8721.066696713006,10465.280036055608,3488.426678685202,44768143,66845.59011402345,45352.467142857146,0,0
1,Show4,3,2022-10-15,6,1,Premiere,3524.911497509154,,8812.278743772886,38186541,83713.73520063634,58420.934285714284,0,0
2,Show2,4,2023-10-27,8,3,Regular,6964.236436480224,2785.69457459209,8357.083723776268,30178358,63736.233022698616,45484.81428571429,0,0
3,Show7,1,2024-03-24,11,6,Regular,,7625.926405090838,6354.938670909031,27538068,45117.21119640373,31663.72,0,0
4,Show5,1,2023-08-14,10,5,Regular,7466.3594935819765,2488.786497860659,6221.966244651647,28621044,87525.73417212666,60840.96571428572,0,0
5,Show8,1,2024-03-31,12,7,Regular,3002.1734728030087,7505.4336820075205,9006.520418409025,31022458,140946.90786076643,98683.53857142858,0,1
6,Show3,1,2020-10-07,5,0,PreLaunch,15944.83482489087,19133.80178986905,6377.933929956348,81850153,181368.92849168918,127037.70999999999,0,0
7,Show5,1,2023-09-03,13,8,Regular,12980.002583413192,4326.667527804397,10816.668819510991,49756677,85371.40115048506,60393.51857142857,1,0
8,Show2,5,2024-10-15,7,2,Regular,8916.040127226706,2972.013375742235,7430.033439355589,34178154,55519.48457269863,39360.49714285714,0,0
9,Show2,1,2020-12-17,15,10,Finale,15139.409078366516,18167.29089403982,6055.763631346606,77715634,92831.0048270494,67108.40857142858,0,0
10,Show1,3,2022-09-28,4,0,PreLaunch,18927.657687862637,6309.219229287546,15773.048073218864,72556021,164286.85069531846,113292.36714285714,0,0
11,Show6,1,2023-08-31,12,7,Regular,14122.944208384492,16947.53305006139,5649.177683353796,72497780,202870.72166462988,146401.66142857142,0,0
12,Show4,4,2023-09-21,3,0,PreLaunch,12970.421341695928,10808.684451413272,4323.4737805653085,56205159,89344.54775808343,63389.55857142857,0,0
